2026/08/28 18:02:43 probe hash: 8fa68ca01acb8f4654d2e7eefc652799a4f5f2b686af5544bdf1e62b937b9632
2026/08/28 18:02:43 loaded 14 probes
2026/08/28 18:02:43 loaded 3 providers
2026/08/28 18:02:43 [kimi-k3 run=1] p1-prompt
2026/08/28 18:03:06 [kimi-k3 run=1] p15-prompt
2026/08/28 18:03:30 [kimi-k3 run=1] p8-prompt
2026/08/28 18:03:58 [kimi-k3 run=1] p9-prompt
2026/08/28 18:04:55 [kimi-k3 run=1] p2-prompt
2026/08/28 18:05:13 [kimi-k3 run=1] p13-prompt
2026/08/28 18:05:51 [kimi-k3 run=1] p7-prompt
2026/08/28 18:06:08 [kimi-k3 run=1] p14-prompt
2026/08/28 18:06:51 [kimi-k3 run=1] p3-prompt
2026/08/28 18:07:10 [kimi-k3 run=1] p10-prompt
2026/08/28 18:07:44 [kimi-k3 run=1] p5-prompt
2026/08/28 18:08:18 [kimi-k3 run=1] p6-prompt
2026/08/28 18:08:46 [kimi-k3 run=1] p12-prompt
2026/08/28 18:09:18 [kimi-k3 run=1] p11-prompt
2026/08/28 18:09:54 [kimi-k3 run=2] p12-prompt
2026/08/28 18:10:12 [kimi-k3 run=2] p10-prompt
2026/08/28 18:11:22 [kimi-k3 run=2] p8-prompt
2026/08/28 18:11:41 [kimi-k3 run=2] p6-prompt
2026/08/28 18:12:07 [kimi-k3 run=2] p5-prompt
2026/08/28 18:12:25 [kimi-k3 run=2] p1-prompt
2026/08/28 18:13:11 [kimi-k3 run=2] p11-prompt
2026/08/28 18:14:15 [kimi-k3 run=2] p9-prompt
2026/08/28 18:14:56 [kimi-k3 run=2] p14-prompt
2026/08/28 18:15:11 [kimi-k3 run=2] p7-prompt
2026/08/28 18:15:42 [kimi-k3 run=2] p15-prompt
2026/08/28 18:15:43   ERROR: HTTP 429: {"error":{"type":"engine_overloaded_error","message":"The engine is currently overloaded, please try again later"},"request_id":"7af61a3f-a30c-11f1-ae55-00163e0566ee","type":"error"}
2026/08/28 18:15:43 [kimi-k3 run=2] p2-prompt
